======== Profiling result:
   Start  Duration  Name
     0ns  4.1870us  cuDeviceGetPCIBusId
211.02ms  1.0080us  cuDeviceGetCount
211.02ms     465ns  cuDeviceGetCount
211.21ms     829ns  cuDeviceGet
211.21ms     551ns  cuDeviceGetAttribute
211.22ms     750ns  cuDeviceGetAttribute
211.22ms     802ns  cuDeviceGetAttribute
211.32ms     871ns  cuDeviceGetCount
211.33ms     720ns  cuDeviceGet
211.33ms  47.948us  cuDeviceGetName
211.38ms     826ns  cuDeviceTotalMem
211.38ms     466ns  cuDeviceGetAttribute
211.38ms     361ns  cuDeviceGetAttribute
211.38ms     402ns  cuDeviceGetAttribute
211.38ms     360ns  cuDeviceGetAttribute
211.39ms     393ns  cuDeviceGetAttribute
211.39ms  29.524us  cuDeviceGetAttribute
211.42ms     547ns  cuDeviceGetAttribute
211.42ms     357ns  cuDeviceGetAttribute
211.42ms     396ns  cuDeviceGetAttribute
211.42ms     360ns  cuDeviceGetAttribute
211.42ms     478ns  cuDeviceGetAttribute
211.42ms     400ns  cuDeviceGetAttribute
211.42ms     330ns  cuDeviceGetAttribute
211.42ms     380ns  cuDeviceGetAttribute
211.42ms     352ns  cuDeviceGetAttribute
211.42ms     340ns  cuDeviceGetAttribute
211.43ms     366ns  cuDeviceGetAttribute
211.43ms     390ns  cuDeviceGetAttribute
211.43ms     396ns  cuDeviceGetAttribute
211.43ms     353ns  cuDeviceGetAttribute
211.43ms     365ns  cuDeviceGetAttribute
211.43ms     362ns  cuDeviceGetAttribute
211.43ms     358ns  cuDeviceGetAttribute
211.43ms     358ns  cuDeviceGetAttribute
211.43ms     337ns  cuDeviceGetAttribute
211.43ms     369ns  cuDeviceGetAttribute
211.43ms     375ns  cuDeviceGetAttribute
211.44ms     356ns  cuDeviceGetAttribute
211.44ms     367ns  cuDeviceGetAttribute
211.44ms     409ns  cuDeviceGetAttribute
211.44ms     359ns  cuDeviceGetAttribute
211.44ms     368ns  cuDeviceGetAttribute
211.44ms     352ns  cuDeviceGetAttribute
211.44ms     367ns  cuDeviceGetAttribute
211.44ms     312ns  cuDeviceGetAttribute
211.44ms     394ns  cuDeviceGetAttribute
