======== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
     0ns  128.83us                    -               -         -         -         -  8.0000MB  60.641GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
130.24us  127.87us                    -               -         -         -         -  8.0000MB  61.097GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
271.55us  35.996us           (4097 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1        14  vector_add_kernel(float const *, float const *, float*, int) [129]
317.37us  128.80us                    -               -         -         -         -  8.0000MB  60.657GB/s      Device      Pinned  Tesla V100-SXM2         1        14  [CUDA memcpy DtoH]
14.965ms  129.86us                    -               -         -         -         -  8.0000MB  60.163GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
15.098ms  129.60us                    -               -         -         -         -  8.0000MB  60.282GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
15.238ms  36.252us           (4097 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1        14  vector_add_kernel(float const *, float const *, float*, int) [136]
15.276ms  129.25us                    -               -         -         -         -  8.0000MB  60.446GB/s      Device      Pinned  Tesla V100-SXM2         1        14  [CUDA memcpy DtoH]
31.866ms  131.81us                    -               -         -         -         -  8.0000MB  59.272GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
31.999ms  132.19us                    -               -         -         -         -  8.0000MB  59.100GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
32.138ms  36.636us           (4097 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1        14  vector_add_kernel(float const *, float const *, float*, int) [143]
32.183ms  129.47us                    -               -         -         -         -  8.0000MB  60.342GB/s      Device      Pinned  Tesla V100-SXM2         1        14  [CUDA memcpy DtoH]
46.725ms  131.97us                    -               -         -         -         -  8.0000MB  59.200GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
46.858ms  133.09us                    -               -         -         -         -  8.0000MB  58.702GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
46.996ms  35.579us           (4097 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1        14  vector_add_kernel(float const *, float const *, float*, int) [150]
47.034ms  129.15us                    -               -         -         -         -  8.0000MB  60.491GB/s      Device      Pinned  Tesla V100-SXM2         1        14  [CUDA memcpy DtoH]
61.508ms  131.78us                    -               -         -         -         -  8.0000MB  59.287GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
61.642ms  130.66us                    -               -         -         -         -  8.0000MB  59.795GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
61.779ms  36.220us           (4097 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1        14  vector_add_kernel(float const *, float const *, float*, int) [157]
61.818ms  129.15us                    -               -         -         -         -  8.0000MB  60.491GB/s      Device      Pinned  Tesla V100-SXM2         1        14  [CUDA memcpy DtoH]
77.781ms  132.03us                    -               -         -         -         -  8.0000MB  59.172GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
77.915ms  132.00us                    -               -         -         -         -  8.0000MB  59.186GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
78.053ms  35.452us           (4097 1 1)       (512 1 1)        16        0B        0B         -           -           -           -  Tesla V100-SXM2         1        14  vector_add_kernel(float const *, float const *, float*, int) [164]
78.090ms  129.38us                    -               -         -         -         -  8.0000MB  60.386GB/s      Device      Pinned  Tesla V100-SXM2         1        14  [CUDA memcpy DtoH]
92.858ms  132.93us                    -               -         -         -         -  8.0000MB  58.773GB/s      Pinned      Device  Tesla V100-SXM2         1        14  [CUDA memcpy HtoD]
